state,sat_part_rate_2017,sat_part_rate_2018,sat_part_rate_2019,act_part_rate_2017,act_part_rate_2018,act_part_rate_2019,annual_gdp_2017,annual_gdp_2018,annual_gdp_2019,mean_sat_part_rate,mean_act_part_rate,mean_annual_gdp
Alabama,0.05,0.06,0.07,1.0,1.0,1.0,197566.6,200800.9,203383.9,0.06,1.0,200583.80000000002
Alaska,0.38,0.43,0.41,0.65,0.33,0.38,54129.5,53249.6,53336.5,0.4066666666666667,0.4533333333333333,53571.86666666667
Arizona,0.3,0.29,0.31,0.62,0.66,0.73,302455.4,313618.7,323894.3,0.3,0.6699999999999999,313322.80000000005
Arkansas,0.03,0.05,0.06,1.0,1.0,1.0,113885.2,115937.6,116790.9,0.04666666666666667,1.0,115537.89999999998
California,0.53,0.6,0.63,0.31,0.27,0.23,2541769.3,2643576.3,2739343.4,0.5866666666666666,0.27,2641563.0
Colorado,0.11,1.0,1.0,1.0,0.3,0.27,329960.6,342535.9,356773.6,0.7033333333333335,0.5233333333333333,343090.0333333333
Connecticut,1.0,1.0,1.0,0.31,0.26,0.22,247358.5,249998.1,251495.1,1.0,0.26333333333333336,249617.2333333333
Delaware,1.0,1.0,1.0,0.18,0.17,0.13,60801.2,61735.1,64262.4,1.0,0.16,62266.23333333333
District of Columbia,1.0,0.92,0.94,0.32,0.32,0.32,120898.9,123836.1,124990.3,0.9533333333333333,0.32,123241.76666666666
Florida,0.83,0.56,1.0,0.73,0.66,0.54,912966.2,943463.4,971619.2,0.7966666666666667,0.6433333333333334,942682.9333333332
Georgia,0.61,0.7,0.71,0.55,0.53,0.49,524874.7,539300.3,558277.3,0.6733333333333333,0.5233333333333333,540817.4333333333
Hawaii,0.55,0.56,0.54,0.9,0.89,0.8,78941.6,79854.7,79175.4,0.55,0.8633333333333333,79323.9
Idaho,0.93,1.0,1.0,0.38,0.36,0.31,66980.5,71075.4,73912.0,0.9766666666666667,0.35000000000000003,70655.96666666666
Illinois,0.09,0.99,1.0,0.93,0.43,0.35,755594.7,774065.0,777653.8,0.6933333333333334,0.57,769104.5
Indiana,0.63,0.63,0.66,0.35,0.32,0.29,325841.7,337149.6,338350.1,0.64,0.32,333780.4666666667
Iowa,0.02,0.03,0.03,0.67,0.68,0.66,170182.7,172929.4,172906.0,0.02666666666666667,0.67,172006.03333333333
Kansas,0.04,0.04,0.04,0.73,0.71,0.72,155407.9,158906.3,160182.3,0.04,0.7200000000000001,158165.49999999997
Kentucky,0.04,0.04,0.04,1.0,1.0,1.0,185866.5,188083.6,191355.5,0.04,1.0,188435.19999999998
Louisiana,0.04,0.04,0.05,1.0,1.0,1.0,233774.4,236265.6,235947.6,0.043333333333333335,1.0,235329.19999999998
Maine,0.95,0.99,0.99,0.08,0.07,0.06,56662.6,58178.8,59433.9,0.9766666666666666,0.07,58091.76666666666
Maryland,0.69,0.76,0.82,0.28,0.31,0.28,366680.5,368643.9,369623.9,0.7566666666666667,0.29000000000000004,368316.10000000003
Massachusetts,0.76,0.8,0.81,0.29,0.25,0.21,484413.8,502954.3,517727.1,0.79,0.25,501698.39999999997
Michigan,1.0,1.0,1.0,0.29,0.22,0.19,457764.9,467830.4,467300.2,1.0,0.2333333333333333,464298.5
Minnesota,0.03,0.04,0.04,1.0,0.99,0.95,328696.1,338524.5,340130.4,0.036666666666666674,0.98,335783.6666666667
Mississippi,0.02,0.03,0.03,1.0,1.0,1.0,101642.1,101131.5,101525.1,0.02666666666666667,1.0,101432.90000000001
Missouri,0.03,0.04,0.04,1.0,1.0,0.82,282174.2,285995.1,290842.0,0.036666666666666674,0.94,286337.10000000003
Montana,0.1,0.1,0.09,1.0,1.0,1.0,45910.5,46614.1,46788.0,0.09666666666666668,1.0,46437.53333333333
Nebraska,0.03,0.03,0.03,0.84,1.0,1.0,114480.9,116904.4,118286.5,0.03,0.9466666666666667,116557.26666666666
Nevada,0.26,0.23,0.2,1.0,1.0,1.0,145699.9,150711.6,156828.8,0.22999999999999998,1.0,151080.1
New Hampshire,0.96,0.96,0.95,0.18,0.16,0.14,74107.3,75534.6,77126.5,0.9566666666666667,0.16,75589.46666666667
New Jersey,0.7,0.82,0.82,0.34,0.31,0.25,537045.1,550064.5,561842.8,0.7799999999999999,0.3,549650.8
New Mexico,0.11,0.16,0.18,0.66,0.67,0.63,89032.0,90999.4,94872.3,0.15,0.6533333333333333,91634.56666666667
New York,0.67,0.79,0.79,0.31,0.27,0.22,1419583.6,1457995.8,1494736.4,0.75,0.26666666666666666,1457438.6000000003
North Carolina,0.49,0.52,0.51,1.0,1.0,1.0,496726.5,504049.5,514624.9,0.5066666666666667,1.0,505133.6333333333
North Dakota,0.02,0.02,0.02,0.98,0.98,0.96,54083.1,55884.0,56247.0,0.02,0.9733333333333333,55404.700000000004
Ohio,0.12,0.18,0.19,0.75,1.0,1.0,590738.9,598917.1,611145.8,0.16333333333333333,0.9166666666666666,600267.2666666667
Oklahoma,0.07,0.08,0.22,1.0,1.0,1.0,194256.0,197358.3,200710.9,0.12333333333333334,1.0,197441.7333333333
Oregon,0.43,0.48,0.51,0.4,0.42,0.42,205744.8,215208.8,219458.2,0.47333333333333333,0.41333333333333333,213470.6
Pennsylvania,0.65,0.7,0.7,0.23,0.2,0.17,694236.5,703946.0,716173.4,0.6833333333333332,0.20000000000000004,704785.2999999999
Rhode Island,0.71,0.97,1.0,0.21,0.15,0.12,52608.8,52493.8,53225.0,0.8933333333333332,0.16,52775.86666666667
South Carolina,0.5,0.55,0.68,1.0,1.0,0.78,202494.3,207772.7,212482.8,0.5766666666666667,0.9266666666666667,207583.2666666667
South Dakota,0.03,0.03,0.03,0.8,0.77,0.75,45878.2,46454.1,46641.0,0.03,0.7733333333333334,46324.43333333333
Tennessee,0.05,0.06,0.07,1.0,1.0,1.0,318412.0,322648.5,329111.6,0.06,1.0,323390.7
Texas,0.62,0.66,0.68,0.45,0.45,0.39,1664218.5,1729286.6,1785317.9,0.6533333333333333,0.43,1726274.3333333333
Utah,0.03,0.04,0.04,1.0,1.0,1.0,154367.3,163327.0,171134.7,0.036666666666666674,1.0,162943.0
Vermont,0.6,0.64,0.66,0.29,0.24,0.2,29500.9,29616.4,29902.8,0.6333333333333333,0.24333333333333332,29673.36666666667
Virginia,0.65,0.68,0.68,0.29,0.24,0.21,466724.8,477819.8,487251.6,0.67,0.24666666666666667,477265.39999999997
Washington,0.64,0.69,0.7,0.29,0.24,0.24,482824.1,515629.9,535980.5,0.6766666666666667,0.25666666666666665,511478.1666666667
West Virginia,0.14,0.28,0.99,0.69,0.65,0.49,71459.4,73114.2,72542.9,0.47000000000000003,0.61,72372.16666666666
Wisconsin,0.03,0.03,0.03,1.0,1.0,1.0,292311.2,299416.0,303891.2,0.03,1.0,298539.4666666666
Wyoming,0.03,0.03,0.03,1.0,1.0,1.0,37429.1,37987.9,38628.4,0.03,1.0,38015.13333333333
